"","action","dataset","accuracy","reward","total_reward","loss","iteration","mu","sigma","ucb_reward","controller","random"
"30","6-8-24-2-12-2-3-2","cifar10","0.1","-0.1","-0.22601784447633153","0.6272388696670532","30","0.10044723749160767","0.6998609900474548","2.608140096567727","gaussian","1"
"31","12-16-1-16-24-32-9-16","cifar10","0.544","0.1","-0.12601784447633152","0.7437216639518738","31","-0.07608425617218018","0.7152484655380249","2.620682050339242","gaussian","0"
"32","24-4-3-16-9-16-1-2","cifar10","0.1002","-0.1","-0.22601784447633153","0.9557492136955261","32","0.2664257287979126","0.7205641269683838","2.6327688477341593","gaussian","0"
"33","1-2-3-64-1-8-1-2","cifar10","0.2868","-0.05697453173530492","-0.2829923762116364","0.8091387152671814","33","0.10706324875354767","0.7132015824317932","2.6444309639188845","gaussian","0"
"34","6-8-3-64-12-32-6-64","cifar10","0.6396","0.1","-0.18299237621163641","0.8242310285568237","34","-0.3176162540912628","0.705685019493103","2.6556959632518784","gaussian","0"
"35","3-32-3-2-12-32-24-4","cifar10","0.3412","-0.0526237003105951","-0.23561607652223152","0.6790384650230408","35","0.04816615954041481","0.7042641639709473","2.666588855256623","gaussian","0"
"36","3-8-9-2-12-64-24-64","cifar10","0.5666","0.1","-0.1356160765222315","0.6606251001358032","36","0.09772410988807678","0.7046512961387634","2.677132398091701","gaussian","1"
"37","1-64-6-2-12-2-9-8","cifar10","0.3824","-0.03755916819878086","-0.17317524472101237","0.8242310285568237","37","-0.3176162540912628","0.705685019493103","2.687347358509586","gaussian","1"
"38","1-32-3-32-3-4-24-2","cifar10","0.3549","-0.05754733455902472","-0.2307225792800371","0.8251777291297913","38","-0.05113609507679939","0.7191222906112671","2.697252735553858","gaussian","0"
"39","24-4-3-16-1-2-24-4","cifar10","0.3897","-0.01123786764721979","-0.24196044692725688","0.8251777291297913","39","-0.05113609507679939","0.7191222906112671","2.7068659538771573","gaussian","0"
"40","1-32-6-8-9-16-6-2","cifar10","0.3494","-0.0492902941177758","-0.2912507410450327","0.7187966704368591","40","-0.04416178539395332","0.7116139531135559","2.716203031481239","gaussian","1"
"41","9-2-6-64-24-4-9-4","cifar10","0.1","-0.1","-0.39125074104503266","0.6945433616638184","41","0.010773690417408943","0.7010772824287415","2.725278725820281","gaussian","0"
"42","1-32-3-32-1-64-24-32","cifar10","0.5921","0.1","-0.2912507410450327","0.6572120189666748","42","-0.07321871817111969","0.7012225389480591","2.734106661519762","gaussian","0"
"43","3-4-6-32-1-8-24-2","cifar10","0.3379","-0.045372630588301266","-0.33662337163333395","0.8000206351280212","43","-0.3560464084148407","0.7160689830780029","2.7426994424083593","gaussian","0"
"44","1-32-6-32-1-32-24-64","cifar10","0.5891","0.1","-0.23662337163333394","0.8121657967567444","44","0.15061995387077332","0.7021923661231995","2.751068750110859","gaussian","0"
"45","3-2-3-32-12-32-24-32","cifar10","0.5653","0.1","-0.13662337163333393","0.7337380647659302","45","-0.024436186999082565","0.7001215815544128","2.7592254310839914","gaussian","0"
"46","24-64-12-4-12-16-1-32","cifar10","0.1","-0.1","-0.23662337163333394","0.8729903697967529","46","0.07700857520103455","0.7047293186187744","2.767179573677536","gaussian","1"
"47","1-2-6-8-12-8-6-16","cifar10","0.4655","0.08805777051103181","-0.14856560112230213","0.7644415497779846","47","0.06065887212753296","0.7019667625427246","2.7749405765565713","gaussian","0"
