,action,dataset,accuracy,reward,total_reward,loss,iteration,mu,sigma,ucb_reward,controller,random
71,1-8-24-8-3-4-9-2,cifar10,0.3093,-0.1,0.3168232929171333,0.6871164441108704,71.0,-0.15426665544509888,0.7147019505500793,2.9198218702658267,gaussian,0.0
72,9-32-9-16-12-16-24-64,cifar10,0.5815,0.1,0.41682329291713327,0.6680768132209778,72.0,0.07544514536857605,0.6991351246833801,2.9246080486164483,gaussian,0.0
73,12-16-9-32-3-4-9-4,cifar10,0.4363,-0.011762671981097705,0.40506062093603556,0.862217903137207,73.0,0.11882206052541733,0.7148804664611816,2.9293205495979406,gaussian,0.0
74,1-4-9-2-12-16-24-2,cifar10,0.2325,-0.1,0.3050606209360356,1.0266062021255493,74.0,-0.07240857183933258,0.7366130948066711,2.933961517540464,gaussian,0.0
75,9-2-3-8-3-16-9-32,cifar10,0.4569,0.05383188993209742,0.358892510868133,0.7053667902946472,75.0,-0.0710657462477684,0.7041773200035095,2.9385330059525656,gaussian,0.0
76,9-8-6-8-1-4-12-32,cifar10,0.4829,0.06906551194567795,0.42795802281381096,0.9452934265136719,76.0,0.02106422930955887,0.7191822528839111,2.94303698253567,gaussian,0.0
77,24-32-1-32-24-4-3-64,cifar10,0.1,-0.1,0.3279580228138109,0.6680768132209778,77.0,0.07544514536857605,0.6991351246833801,2.9474753338590247,gaussian,0.0
78,9-64-9-2-9-2-12-32,cifar10,0.1,-0.1,0.22795802281381092,0.7023356556892395,78.0,-0.135704904794693,0.7111100554466248,2.951849869722236,gaussian,1.0
79,9-32-3-16-24-8-12-64,cifar10,0.6017,0.1,0.3279580228138109,0.9829117655754089,79.0,0.10743580758571625,0.7175762057304382,2.956162327230026,gaussian,0.0
80,1-64-24-8-3-4-1-2,cifar100,0.0308,0.0308,0.3587580228138109,0.80202317237854,0.0,0.011742977425456047,0.7204288244247437,0.0,gaussian,0.0
81,3-8-12-16-12-16-9-2,cifar100,0.01,-0.0208,0.33795802281381093,0.6824488043785095,1.0,-0.21679121255874634,0.7120937705039978,0.0,gaussian,0.0
82,24-16-3-16-3-4-6-2,cifar100,0.0499,0.02326,0.36121802281381094,0.8117068409919739,2.0,0.2322683036327362,0.7089961171150208,1.1774100225154747,gaussian,0.0
83,12-8-3-4-1-16-9-2,cifar100,0.0431,0.011807999999999999,0.3730260228138109,0.7675713300704956,3.0,0.04090259224176407,0.7165806889533997,1.4823038073675112,gaussian,0.0
84,9-16-6-8-3-4-6-64,cifar100,0.1883,0.1,0.4730260228138109,0.7600114941596985,4.0,0.041825585067272186,0.7073708772659302,1.6651092223153954,gaussian,0.0
85,24-8-9-4-3-4-24-8,cifar100,0.01,-0.05458287999999999,0.4184431428138109,1.0111745595932007,5.0,-0.11806223541498184,0.7200707793235779,1.7941225779941015,gaussian,0.0
86,3-8-3-16-12-2-12-8,cifar100,0.0819,0.028233696000000003,0.44667683881381093,0.9367329478263855,6.0,-0.643936276435852,0.7073233127593994,1.8930184728248454,gaussian,0.0
87,1-2-1-32-3-4-9-8,cifar100,0.0661,0.0067869568000000075,0.45346379561381095,0.9907848238945007,7.0,0.1375260353088379,0.7161920666694641,1.9727697022487511,gaussian,0.0
88,24-8-9-16-24-16-12-64,cifar100,0.1885,0.1,0.553463795613811,0.8524988293647766,8.0,-0.05773814767599106,0.7236257791519165,2.039333980337618,gaussian,0.0
89,24-64-12-32-24-4-9-16,cifar100,0.01,-0.076236347648,0.47722744796581096,0.6890296936035156,9.0,-0.051754578948020935,0.6991527080535889,2.09629414793641,gaussian,0.0
90,24-4-6-2-3-64-12-16,cifar100,0.1318,0.060810921881600005,0.5380383698474109,2.047278642654419,10.0,0.18697625398635864,0.7201599478721619,2.145966026289347,gaussian,0.0
91,24-32-1-64-1-2-24-8,cifar100,0.01,-0.07315126249472,0.46488710735269095,0.7212002873420715,11.0,0.07408007234334946,0.7033783793449402,2.189929347170073,gaussian,0.0
92,1-4-1-32-3-16-6-8,cifar100,0.0759,0.007378990004223998,0.47226609735691494,0.7525418400764465,12.0,-0.049207985401153564,0.7135242223739624,2.2293078072747154,gaussian,0.0
93,6-32-12-2-12-4-1-32,cifar100,0.01,-0.05999680799662079,0.41226928936029417,0.6456342935562134,13.0,-0.16355180740356445,0.7013905644416809,2.2649279712439143,gaussian,0.0
94,24-8-12-2-1-2-6-2,cifar100,0.0441,-0.01389744639729664,0.39837184296299755,0.6418110132217407,14.0,-0.2151975929737091,0.7042798399925232,2.2974147773596556,gaussian,0.0
95,3-16-12-64-24-4-1-8,cifar100,0.0568,0.0015820428821626958,0.39995388584516023,0.7006272673606873,15.0,-0.2930562198162079,0.7093079090118408,2.3272516843273356,gaussian,0.0
96,6-32-24-8-9-8-6-2,cifar100,0.0614,0.005865634305730151,0.4058195201508904,0.7828888893127441,16.0,-0.013908911496400833,0.7170437574386597,2.3548200450309493,gaussian,0.0
97,6-8-3-2-12-32-12-64,cifar100,0.188,0.1,0.5058195201508904,0.929868757724762,17.0,0.1474408209323883,0.7137995362281799,2.380425736735434,gaussian,0.0
98,9-16-3-8-6-32-6-16,cifar100,0.1914,0.1,0.6058195201508904,0.6896650791168213,18.0,-0.26104357838630676,0.7050344944000244,2.4043176819614187,gaussian,0.0
99,24-8-24-32-12-32-6-16,cifar100,0.1485,0.043847204764533826,0.6496667249154242,0.6601222157478333,19.0,0.0032481588423252106,0.6984485387802124,2.426701044284788,gaussian,0.0
100,1-16-24-64-3-2-6-4,cifar100,0.0639,-0.049522236188372926,0.6001444887270513,0.8624439835548401,20.0,-0.14418256282806396,0.7260745167732239,2.4477468306808166,gaussian,0.0
101,3-8-3-4-1-32-24-32,cifar100,0.1584,0.054882211049301674,0.655026699776353,0.8634307384490967,21.0,-0.0905020534992218,0.7106474041938782,2.467599010262171,gaussian,0.0
102,1-16-3-32-6-8-12-8,cifar100,0.1463,0.031805768839441334,0.6868324686157943,0.7698941230773926,22.0,-0.04344290867447853,0.7204758524894714,2.48637987980852,gaussian,0.0
103,12-64-12-32-24-32-1-64,cifar100,0.208,0.08714461507155305,0.7739770836873473,0.979155957698822,23.0,-0.04433122277259827,0.7344426512718201,2.504194168162345,gaussian,0.0
104,1-16-6-64-6-2-24-8,cifar100,0.01,-0.1,0.6739770836873473,0.6728573441505432,24.0,-0.02380017563700676,0.7093821167945862,2.5211322180115605,gaussian,0.0
105,24-4-1-4-9-32-24-8,cifar100,0.1017,-0.01092744635420606,0.6630496373331413,0.7534045577049255,25.0,0.019902914762496948,0.716585636138916,2.537272482359039,gaussian,0.0
106,9-4-3-2-3-8-12-16,cifar100,0.1412,0.030758042916635142,0.6938076802497763,0.7559145092964172,26.0,0.05046756565570831,0.7078632116317749,2.552683504871484,gaussian,0.0
107,1-8-24-2-12-16-12-16,cifar100,0.01,-0.1,0.5938076802497764,0.8278229236602783,27.0,-0.13310107588768005,0.7202854752540588,2.567425506613319,gaussian,0.0
108,9-16-24-16-6-2-24-64,cifar100,0.2148,0.1,0.6938076802497763,0.6396182775497437,28.0,-0.10831498354673386,0.7036845088005066,2.5815516691227405,gaussian,0.0
109,24-8-9-64-6-2-1-16,cifar100,0.0272,-0.09197988202668281,0.6018277982230935,0.7069035172462463,29.0,0.04926376789808273,0.6993373036384583,2.5951091807422957,gaussian,0.0
110,12-4-9-32-12-8-3-16,cifar100,0.14,0.039216094378653754,0.6410438926017472,0.6842535138130188,30.0,-0.0534539669752121,0.6994873285293579,2.608140096567727,gaussian,0.0
111,1-8-9-2-3-8-1-2,cifar100,0.0304,-0.07822712449707701,0.5628167681046702,0.8484637141227722,31.0,0.10882189124822617,0.7156357765197754,2.620682050339242,gaussian,0.0
112,6-64-24-32-12-8-12-2,cifar100,0.0662,-0.02678169959766162,0.5360350685070085,0.7793373465538025,32.0,-0.09889906644821167,0.718859851360321,2.6327688477341593,gaussian,0.0
113,24-2-24-8-24-32-24-2,cifar100,0.01,-0.07762535967812931,0.4584097088288792,0.7732757925987244,33.0,0.006056217476725578,0.7121402025222778,2.6444309639188845,gaussian,0.0
114,24-2-3-32-12-16-12-16,cifar100,0.17,0.09789971225749657,0.5563094210863758,0.7490752339363098,34.0,-0.15248528122901917,0.7187071442604065,2.6556959632518784,gaussian,0.0
115,1-2-6-8-12-2-6-2,cifar100,0.0397,-0.05198023019400276,0.504329190892373,0.6837154030799866,35.0,-0.025688063353300095,0.7009996771812439,2.666588855256623,gaussian,0.0
116,24-2-1-4-24-16-9-4,cifar100,0.01,-0.07128418415520221,0.43304500673717083,1.076102614402771,36.0,0.10038480907678604,0.7275353074073792,2.677132398091701,gaussian,0.0
117,1-64-6-8-3-4-6-16,cifar100,0.0972,0.030172652675838227,0.4632176594130091,1.1588129997253418,37.0,0.3100679814815521,0.7138888239860535,2.687347358509586,gaussian,0.0
118,3-2-9-4-3-2-24-4,cifar100,0.0637,-0.009361877859329404,0.45385578155367967,0.8130168318748474,38.0,-0.029246333986520767,0.7254863381385803,2.697252735553858,gaussian,0.0
119,9-32-1-8-24-16-9-8,cifar100,0.1602,0.08901049771253648,0.5428662792662161,0.6887064576148987,39.0,-0.14701032638549805,0.714958906173706,2.7068659538771573,gaussian,0.0
120,1-8-6-2-3-64-12-16,cifar100,0.1233,0.03430839817002919,0.5771746774362453,0.6480105519294739,40.0,-0.19791796803474426,0.7059621214866638,2.716203031481239,gaussian,0.0
121,3-32-3-64-6-32-24-64,cifar100,0.3239,0.1,0.6771746774362453,0.9017272591590881,41.0,0.1981021761894226,0.7098080515861511,2.725278725820281,gaussian,0.0
122,1-32-6-8-3-4-6-16,cifar100,0.1269,-0.014562625171181287,0.662612052265064,0.6819015145301819,42.0,0.07688677310943604,0.6997805833816528,2.734106661519762,gaussian,0.0
123,3-2-9-4-3-2-24-4,cifar100,0.0788,-0.05975010013694505,0.602861952128119,0.6578671336174011,43.0,0.03434641659259796,0.7029702067375183,1.9393813744835136,gaussian,0.0
124,9-32-1-8-24-16-9-8,cifar100,0.1651,0.03849991989044396,0.641361872018563,0.8950641751289368,44.0,0.04466819763183594,0.7198657393455505,1.9452993687137876,gaussian,0.0
125,1-8-6-2-3-64-12-16,cifar100,0.1322,-0.0021000640876448207,0.6392618079309181,0.8854320049285889,45.0,-0.3099580407142639,0.7347267866134644,1.9510670131418653,gaussian,0.0
126,3-32-3-64-6-32-24-64,cifar100,0.3224,0.1,0.7392618079309181,0.699836015701294,46.0,-0.16621151566505432,0.7072619795799255,1.9566914413082854,gaussian,0.0
127,1-32-6-8-3-4-6-16,cifar100,0.1323,-0.0392840410160927,0.6999777669148254,0.657442033290863,47.0,0.025493983179330826,0.6994184851646423,1.9621792990728595,gaussian,0.0
128,3-2-9-4-3-2-24-4,cifar100,0.0727,-0.09102723281287416,0.6089505341019512,0.7527915239334106,48.0,-0.15343976020812988,0.7186889052391052,1.6064870599972458,gaussian,0.0
